run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,alpha,bin
159,1,3,0.000211547903474,na,na,0,0.013750478598,del,1,neu,86940.8069472,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,50
159,1,3,0.000204225552332,4.89645648466,0.349824812163,na,0.0258075860361,del,1,sel,86940.8069472,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,50
159,1,3,0.000171331876297,99.1974665375,0.0730637412203,na,0.0120480366988,ins,1,sel,86940.8069472,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,50
159,1,3,0.000134767844935,na,na,0,0,ins,1,neu,86940.8069472,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,50
95,1,3,0.000257457883695,114.810932548,0.183144411725,na,0.0196306134587,del,1,sel,86933.9734786,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,34
95,1,3,0.000212159542354,na,na,0,0.013752809493,del,1,neu,86933.9734786,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,34
95,1,3,0.000179096461197,163.250199088,0.122063013393,na,0.0219353541747,ins,1,sel,86933.9734786,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,34
95,1,3,0.000135156663138,na,na,0,0,ins,1,neu,86933.9734786,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,34
399,1,3,0.000210935658776,na,na,0,0.0137124456522,del,1,neu,86898.2855405,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,11
399,1,3,0.00017840845681,97.4605094871,0.0585862502803,na,0.00659586042679,del,1,sel,86898.2855405,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,11
399,1,3,0.000134390381045,na,na,0,0,ins,1,neu,86898.2855405,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,11
399,1,3,0.000127969458632,0.1,1.95854494579,na,0.0445295301556,ins,1,sel,86898.2855405,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,11
305,1,3,0.000213850325086,na,na,0,0.0244725095186,del,1,neu,86884.6248324,sel_ins_e,500,True,indel_continuous_1class,30,NA,38
305,1,3,0.000191883687429,103.846458821,0.039179578668,na,0.0311500109597,del,1,sel,86884.6248324,sel_ins_e,500,True,indel_continuous_1class,30,NA,38
305,1,3,0.000139418750419,1.79562459434,0.338077046459,na,0,ins,1,sel,86884.6248324,sel_ins_e,500,True,indel_continuous_1class,30,NA,38
305,1,3,0.000138535269208,na,na,0,0.0265575097278,ins,1,neu,86884.6248324,sel_ins_e,500,True,indel_continuous_1class,30,NA,38
236,1,3,0.000214584739999,122.066841662,0.0939186983994,na,0.0245347068067,del,1,sel,86861.3152389,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,25
236,1,3,0.000212420657525,na,na,0,0.0135130921485,del,1,neu,86861.3152389,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,25
236,1,3,0.000141847614761,542.831939704,0.0292957534549,na,0.034369336627,ins,1,sel,86861.3152389,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,25
236,1,3,0.000135405698011,na,na,0,0,ins,1,neu,86861.3152389,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,25
178,1,3,0.000284184413839,97.5120398863,0.274340493035,na,0.00658609615981,del,1,sel,86859.0190071,,500,True,indel_continuous_1class,30,NA,24
178,1,3,0.000212022260969,na,na,0,0.013602195832,del,1,neu,86859.0190071,,500,True,indel_continuous_1class,30,NA,24
178,1,3,0.000141585609105,121.399661532,0.0195829076407,na,0.0597206078933,ins,1,sel,86859.0190071,,500,True,indel_continuous_1class,30,NA,24
178,1,3,0.000135121847476,na,na,0,2.22044604925e-18,ins,1,neu,86859.0190071,,500,True,indel_continuous_1class,30,NA,24
432,1,3,0.000220798244712,8.89709618126,0.394314967827,na,0.024838663667,del,1,sel,86794.9670277,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,44
432,1,3,0.000211648924462,na,na,0,0.0137131048367,del,1,neu,86794.9670277,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,44
432,1,3,0.000140566726538,10.2008625715,0.118324525883,na,0.0341947817977,ins,1,sel,86794.9670277,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,44
432,1,3,0.000134845370014,na,na,0,0,ins,1,neu,86794.9670277,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,44
159,1,3,0.000212769051718,na,na,0,0.013561659009,del,1,neu,86765.5963578,sel_ins_shape|neu_ins_e_1,500,True,indel_continuous_1class,30,NA,39
159,1,3,0.000191924742016,136.509216042,0.0506731080824,na,0.0167955668568,del,1,sel,86765.5963578,sel_ins_shape|neu_ins_e_1,500,True,indel_continuous_1class,30,NA,39
159,1,3,0.000135612470337,na,na,0,0,ins,1,neu,86765.5963578,sel_ins_shape|neu_ins_e_1,500,True,indel_continuous_1class,30,NA,39
159,1,3,0.000132918794762,0.152150661602,0.001,na,0.0293835905638,ins,1,sel,86765.5963578,sel_ins_shape|neu_ins_e_1,500,True,indel_continuous_1class,30,NA,39
311,1,3,0.000238844861186,126.354651306,0.150236208391,na,0.0282577422541,del,1,sel,86765.5679226,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,32
311,1,3,0.00021185732718,na,na,0,0.0135919579973,del,1,neu,86765.5679226,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,32
