category	variation	seg_sites	theta_w	pi	tajD
bin31	SNP	47178	13298.0445465	12079.8526316	-0.384544278929
bin32	DEL	1546	435.770419875	390.163157895	-0.438728917535
bin32	INDEL	5139	1448.52793515	1327.78421053	-0.349776076839
bin32	INS	1183	333.451750784	301.247368421	-0.404680688223
bin32	SNP	44920	12661.582963	11454.6894737	-0.400127447927
bin33	DEL	1396	393.489978102	354.4	-0.416375705969
bin33	INDEL	4885	1376.93305374	1290.00526316	-0.264904015404
bin33	INS	1071	301.88235426	291.305263158	-0.146782634402
bin33	SNP	43556	12277.1128125	11190.9736842	-0.371369257928
bin34	DEL	1386	390.671281983	355.021052632	-0.382471902361
bin34	INDEL	4750	1338.88065615	1253.32105263	-0.268141511841
bin34	INS	1048	295.399353188	275.536842105	-0.281676895821
bin34	SNP	42121	11872.6299195	10781.9	-0.385643737637
bin35	DEL	1323	372.913496439	323.473684211	-0.555628613115
bin35	INDEL	4460	1257.13846872	1141.83684211	-0.384836605469
bin35	INS	934	263.266217441	238.794736842	-0.389296643502
bin35	SNP	39830	11226.8666388	10228.3157895	-0.373358722072
bin36	DEL	1332	375.450322945	333.889473684	-0.463930257963
bin36	INDEL	4379	1234.30703016	1137.47894737	-0.329153303817
bin36	INS	990	279.050915702	264.689473684	-0.215569786841
bin36	SNP	37427	10549.5339616	9618.69473684	-0.370385978141
bin37	DEL	1153	324.995662429	285.178947368	-0.513330868765
bin37	INDEL	3937	1109.72066174	1018.57894737	-0.34458714904
bin37	INS	852	240.152909271	225.342105263	-0.258230840036
bin37	SNP	35862	10108.4080191	9216.62631579	-0.370329077338
bin38	DEL	1156	325.841271265	299.721052632	-0.33587863737
bin38	INDEL	3885	1095.06344192	1014.6	-0.30828445644
bin38	INS	885	249.454606461	230.226315789	-0.322781166743
bin38	SNP	34233	9649.24242146	8798.53157895	-0.370083309112
bin39	DEL	1090	307.237876885	274.005263158	-0.453159858639
bin39	INDEL	3728	1050.80991287	963.247368421	-0.349603798768
bin39	INS	801	225.777559068	212.236842105	-0.251077044363
bin39	SNP	32556	9176.54708243	8344.81578947	-0.38046354608
bin40	DEL	1049	295.6812228	266.073684211	-0.419474958356
bin40	INDEL	3654	1029.95156159	953.073684211	-0.313156418121
bin40	INS	792	223.240732562	202.036842105	-0.397625949251
bin40	SNP	31380	8845.06841893	8052.79473684	-0.375995145263
bin41	DEL	1086	306.110398437	276.205263158	-0.409285306152
bin41	INDEL	3444	970.75894311	905.647368421	-0.281389292123
bin41	INS	716	201.818642064	196.415789474	-0.112038378053
bin41	SNP	30365	8558.97076294	7779.71578947	-0.38217759587
bin42	DEL	969	273.131653854	245.810526316	-0.418966215692
bin42	INDEL	3295	928.760370949	845.226315789	-0.377318497096
bin42	INS	720	202.946120511	181.263157895	-0.447146904525
bin42	SNP	28823	8124.32782151	7362.35789474	-0.393691364414
bin43	DEL	913	257.346955592	226.721052632	-0.498381526689
bin43	INDEL	3238	912.693803075	829.921052632	-0.380456826977
bin43	INS	720	202.946120511	188.905263158	-0.2895511104
bin43	SNP	27889	7861.06160407	7117.93684211	-0.396812109549
bin44	DEL	925	260.729390934	227.389473684	-0.535525484034
bin44	INDEL	3053	860.547924889	775.773684211	-0.413251122993
bin44	INS	679	191.389466426	176.268421053	-0.330595026079
bin44	SNP	27281	7689.68488008	6932.46842105	-0.413347315008
bin45	DEL	888	250.300215297	225.057894737	-0.42230938179
bin45	INDEL	3069	865.057838678	796.342105263	-0.333225224598
bin45	INS	682	192.235075262	177.489473684	-0.320973042648
bin45	SNP	26715	7530.14667979	6837.19473684	-0.386280296129
bin46	DEL	882	248.608997626	223.257894737	-0.427007387407
bin46	INDEL	3045	858.292967994	798.784210526	-0.290850423492
bin46	INS	663	186.879552637	171.2	-0.351051302512
bin46	SNP	26891	7579.75573147	7005.39473684	-0.318077418649
bin47	DEL	874	246.354040731	223.063157895	-0.395887457365
bin47	INDEL	2961	834.615920601	774.547368421	-0.301908931271
bin47	INS	665	187.443291861	173.610526316	-0.308775004759
bin47	SNP	25696	7242.92154534	6598.94210526	-0.373215501819
bin48	DEL	759	213.939035372	181.626315789	-0.632213544593
bin48	INDEL	2707	763.021039199	700.115789474	-0.345808394132
bin48	INS	566	159.538200291	159.978947368	0.0115525439081
bin48	SNP	24211	6824.34517179	6170.12105263	-0.4024062645
bin49	DEL	792	223.240732562	196.815789474	-0.495533737115
bin49	INDEL	2707	763.021039199	702.715789474	-0.331515440385
bin49	INS	561	158.128852231	147.184210526	-0.289419865919
bin49	SNP	23850	6722.59024192	6083.26315789	-0.399194942488
bin50	DEL	747	210.55660003	188.942105263	-0.429671344438
bin50	INDEL	2689	757.947386186	711.784210526	-0.255469704816
bin50	INS	576	162.356896409	153.278947368	-0.233829354804
bin50	SNP	23425	6602.7956569	6050.64210526	-0.351018376125
