run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,alpha,window,rec_rate,callable,n_ins,theta_ins,pi_ins,tajd_ins,n_del,theta_del,pi_del,tajd_del
268,1,3,0.000283536540946,129.03049336,0.00702756985169,na,0.00532801382055,del,1,sel,90507.6304174,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,39,1.86217925355,1584759,932,0.000165768093582,0.000159389999894,-0.161139980792,1367,0.000243138394771,0.000227648759876,-0.267009526198
268,1,3,0.000211275900334,na,na,0,0.0135080252844,del,1,neu,90507.6304174,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,39,1.86217925355,1584759,932,0.000165768093582,0.000159389999894,-0.161139980792,1367,0.000243138394771,0.000227648759876,-0.267009526198
268,1,3,0.000188430668822,0.1,0.001,na,0.00335599950003,ins,1,sel,90507.6304174,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,39,1.86217925355,1584759,932,0.000165768093582,0.000159389999894,-0.161139980792,1367,0.000243138394771,0.000227648759876,-0.267009526198
268,1,3,0.000134678806849,na,na,0,0,ins,1,neu,90507.6304174,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,39,1.86217925355,1584759,932,0.000165768093582,0.000159389999894,-0.161139980792,1367,0.000243138394771,0.000227648759876,-0.267009526198
162,1,3,0.000314241109129,0.10040931453,1.96804667579,na,0.0113594393584,del,1,sel,90478.0764044,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,115,1.72978953567,1380347,959,0.000195829713642,0.00018437011624,-0.245094141295,1334,0.000272405461937,0.00025398266561,-0.28344028859
162,1,3,0.000228497992067,0.1,0.00398539833149,na,0.0353068214984,ins,1,sel,90478.0764044,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,115,1.72978953567,1380347,959,0.000195829713642,0.00018437011624,-0.245094141295,1334,0.000272405461937,0.00025398266561,-0.28344028859
162,1,3,0.000211611709194,na,na,0,0.0137454443239,del,1,neu,90478.0764044,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,115,1.72978953567,1380347,959,0.000195829713642,0.00018437011624,-0.245094141295,1334,0.000272405461937,0.00025398266561,-0.28344028859
162,1,3,0.000134810914551,na,na,0,0,ins,1,neu,90478.0764044,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,115,1.72978953567,1380347,959,0.000195829713642,0.00018437011624,-0.245094141295,1334,0.000272405461937,0.00025398266561,-0.28344028859
72,1,3,0.000488898468556,265.496178265,0.142657227041,na,0,del,1,sel,90452.0764285,sel_del_e,500,True,indel_continuous_1class,30,NA,365,0.482297839071,1368495,892,0.000183725694098,0.000170317719369,-0.305605224494,1334,0.00027476465911,0.000241294653116,-0.510524701565
72,1,3,0.000224988773213,98.7740456146,0.0153795188336,na,0.0232779716488,ins,1,sel,90452.0764285,sel_del_e,500,True,indel_continuous_1class,30,NA,365,0.482297839071,1368495,892,0.000183725694098,0.000170317719369,-0.305605224494,1334,0.00027476465911,0.000241294653116,-0.510524701565
72,1,3,0.000212978302308,na,na,0,0.0178466029683,del,1,neu,90452.0764285,sel_del_e,500,True,indel_continuous_1class,30,NA,365,0.482297839071,1368495,892,0.000183725694098,0.000170317719369,-0.305605224494,1334,0.00027476465911,0.000241294653116,-0.510524701565
72,1,3,0.00013658660847,na,na,0,0.0103924928459,ins,1,neu,90452.0764285,sel_del_e,500,True,indel_continuous_1class,30,NA,365,0.482297839071,1368495,892,0.000183725694098,0.000170317719369,-0.305605224494,1334,0.00027476465911,0.000241294653116,-0.510524701565
453,1,3,0.000345490526355,0.247388625695,4.0527306175,na,0.030015609503,del,1,sel,90396.8495501,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,311,0.337216875028,1429081,913,0.000180078634866,0.000165745089253,-0.333336991957,1321,0.000260551891191,0.000233996533437,-0.42714244143
453,1,3,0.000233493268049,204.870212677,0.0549133951712,na,0.00941361306491,ins,1,sel,90396.8495501,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,311,0.337216875028,1429081,913,0.000180078634866,0.000165745089253,-0.333336991957,1321,0.000260551891191,0.000233996533437,-0.42714244143
453,1,3,0.000211719043827,na,na,0,0.0137254721577,del,1,neu,90396.8495501,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,311,0.337216875028,1429081,913,0.000180078634866,0.000165745089253,-0.333336991957,1321,0.000260551891191,0.000233996533437,-0.42714244143
453,1,3,0.000134886299876,na,na,0,0,ins,1,neu,90396.8495501,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,311,0.337216875028,1429081,913,0.000180078634866,0.000165745089253,-0.333336991957,1321,0.000260551891191,0.000233996533437,-0.42714244143
61,1,3,0.000306978522205,89.1966465101,0.152585191322,na,0.033397672585,del,1,sel,90274.4578115,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,317,0.422929300876,1936656,905,0.000131717764382,0.000117584667918,-0.449340755795,1293,0.000188189026902,0.000164583749134,-0.525670937877
61,1,3,0.000211864937802,na,na,0,0.013532560412,del,1,neu,90274.4578115,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,317,0.422929300876,1936656,905,0.000131717764382,0.000117584667918,-0.449340755795,1293,0.000188189026902,0.000164583749134,-0.525670937877
61,1,3,0.000194190645859,115.541599383,0.113044169082,na,0.0266938300923,ins,1,sel,90274.4578115,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,317,0.422929300876,1936656,905,0.000131717764382,0.000117584667918,-0.449340755795,1293,0.000188189026902,0.000164583749134,-0.525670937877
61,1,3,0.000135046397772,na,na,0,0,ins,1,neu,90274.4578115,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,317,0.422929300876,1936656,905,0.000131717764382,0.000117584667918,-0.449340755795,1293,0.000188189026902,0.000164583749134,-0.525670937877
475,1,3,0.000327265858287,582.43788457,0.0346884785357,na,0.0112958984496,del,1,sel,90244.4115004,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,113,2.00286314067,1387926,994,0.000201868395109,0.000193385860023,-0.176008850222,1252,0.000254264819594,0.000235527497029,-0.308813466387
475,1,3,0.000237364134735,0.1,0.001,na,0.0431533316095,ins,1,sel,90244.4115004,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,113,2.00286314067,1387926,994,0.000201868395109,0.000193385860023,-0.176008850222,1252,0.000254264819594,0.000235527497029,-0.308813466387
475,1,3,0.000211183500727,na,na,0,0.0138565083389,del,1,neu,90244.4115004,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,113,2.00286314067,1387926,994,0.000201868395109,0.000193385860023,-0.176008850222,1252,0.000254264819594,0.000235527497029,-0.308813466387
475,1,3,0.000134498061175,na,na,0,0,ins,1,neu,90244.4115004,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,NA,113,2.00286314067,1387926,994,0.000201868395109,0.000193385860023,-0.176008850222,1252,0.000254264819594,0.000235527497029,-0.308813466387
